device_id,n_maintenance_total,n_medium,n_major,medium_ratio,major_ratio,maintenance_interval_mean,maintenance_interval_median,maintenance_interval_q25,maintenance_interval_q75,maintenance_interval_std,last_maintenance_date,last_maintenance_type,interval_sequence,type_sequence
a1,12,10,2,0.8333333333333334,0.16666666666666666,59.81818181818182,60.0,51.0,64.0,9.561458445410187,2026-03-07,medium,62;74;62;50;52;57;50;78;60;66;47,medium;medium;medium;major;medium;medium;medium;medium;medium;major;medium;medium
a2,12,9,3,0.75,0.25,58.72727272727273,54.0,50.0,69.0,12.29996976412329,2026-03-12,medium,73;79;59;50;46;51;54;77;65;50;42,medium;medium;medium;medium;medium;medium;medium;medium;major;major;major;medium
a3,13,11,2,0.8461538461538461,0.15384615384615385,56.333333333333336,59.0,47.75,63.25,12.030054955079057,2026-04-05,medium,50;74;61;48;47;62;57;75;63;64;35;40,medium;medium;medium;medium;medium;medium;medium;major;medium;major;medium;medium;medium
a4,13,13,0,1.0,0.0,54.416666666666664,57.0,49.0,60.75,9.552123091520311,2026-03-12,medium,49;67;60;59;33;49;55;63;65;60;43;50,medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium
a5,13,12,1,0.9230769230769231,0.07692307692307693,57.0,60.0,49.0,64.25,12.199726772896733,2026-04-03,medium,60;65;64;58;35;49;60;66;79;63;49;36,medium;medium;major;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium
a6,12,10,2,0.8333333333333334,0.16666666666666666,59.72727272727273,55.0,50.5,71.0,13.96157655262151,2026-03-25,medium,82;71;55;50;51;54;80;71;62;43;38,medium;medium;major;medium;major;medium;medium;medium;medium;medium;medium;medium
a7,13,11,2,0.8461538461538461,0.15384615384615385,56.333333333333336,55.0,47.0,62.0,13.078820877875634,2026-03-25,medium,47;82;59;59;35;51;61;77;47;65;48;45,medium;medium;medium;medium;medium;medium;major;medium;medium;medium;medium;major;medium
a8,13,13,0,1.0,0.0,55.583333333333336,54.5,46.0,64.0,11.842426084023305,2026-03-31,medium,69;82;64;41;42;47;54;64;56;55;43;50,medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium
a9,13,11,2,0.8461538461538461,0.15384615384615385,55.916666666666664,56.0,47.0,64.25,10.103286044099162,2026-04-01,major,64;74;61;47;47;57;55;65;65;54;45;37,medium;medium;medium;medium;medium;medium;major;medium;medium;medium;medium;medium;major
a10,13,10,3,0.7692307692307693,0.23076923076923078,55.833333333333336,57.0,45.25,62.75,12.178076841421046,2026-03-26,medium,61;68;50;59;37;46;55;75;74;61;43;41,medium;major;medium;medium;medium;medium;major;medium;medium;medium;major;medium;medium
