days_since_last_maintenance,median_centered_daily_median,mean_centered_daily_median,n_points
1,11.372447393269297,9.007008099450788,90
2,11.3285554753244,8.929926486295116,92
3,10.835836746085448,8.284759513940184,90
4,10.467235898987795,8.422767060790667,91
5,10.185706780778204,7.28001275305833,91
6,10.087135907737206,7.629627162846693,89
7,9.742344942024516,7.080030753579416,90
8,9.273595981801492,6.263866127574465,90
9,8.896018441535347,6.193282733212642,91
10,8.632802915402728,5.8292877535855725,92
11,8.800546515787502,5.665722915695247,89
12,8.524812054882787,5.46214586423999,90
13,8.278132084341735,5.5688113447262335,90
14,7.947424958299564,4.987480355493047,85
15,6.856245134388963,4.171771467423797,86
16,7.005698824282334,3.8118980285277324,91
17,6.577300339821228,3.4659998550628868,92
18,5.895724602666753,3.0863660097106673,92
19,5.307199878556872,2.5864662158950735,90
20,4.745867187917597,2.1856801360776417,91
21,4.56365006517359,2.1974067712625014,91
22,3.272217379647728,1.014419352129541,91
23,4.1614962301042056,0.8212218287288421,89
24,3.9504835584122446,1.2853684397085443,89
25,2.572881056707132,0.6813793201028361,89
26,1.5576854021188353,0.09577751048360124,89
27,2.269314999794865,-0.38745650829894446,92
28,1.4095326850222278,-0.8795137014969278,91
29,1.0159280294490145,-0.8214129922330278,92
30,0.7921756428723654,-1.2989545328310868,92
31,0.3184037936092352,-2.24126010964152,89
32,-0.15029796308588317,-2.2595238096713737,90
33,-0.1574238022563179,-1.9878734837866439,91
34,-0.8991516522514118,-2.686084976436483,90
35,-0.6659825698795885,-2.2989608869143927,90
36,-0.9929081801680582,-1.9521918143620873,87
37,-2.0975415785572054,-3.125027979170933,86
38,-2.55208655058766,-3.5471657360332314,87
39,-2.9364537056514664,-4.56774787842328,86
40,-2.748143107047362,-3.858291841379834,84
41,-1.222252443370003,-3.1955025637434495,82
42,-1.8042014542103004,-2.7880266610497744,80
43,-1.45935447969849,-2.261565215370311,77
44,-1.2285665663013816,-2.4402889783919326,78
45,-1.7496687383073777,-1.8349999672102921,76
46,-1.235499510699384,-2.260234361733039,75
47,-0.8205478212069863,-2.9036863386575043,71
48,-0.9862214416362463,-1.8567416483552763,69
49,-2.13630654259876,-2.48197380472808,64
50,-0.6834210106031975,-0.6983482202326252,58
51,1.2151058157568855,-0.8722281484172691,59
52,1.6015486847683391,-0.5246842453297543,58
53,1.9920085934568377,-0.9947178132507287,56
54,-0.4151059686700691,-1.8225774798794423,56
55,0.41118987393068807,-1.9758212162082913,54
56,1.7628470246572903,-1.2481649544201854,51
57,0.9918318090742986,-1.5788934822147065,51
58,0.3028157130245006,-2.2649556590294107,51
59,3.5895216940617445,-1.8869107182551406,47
60,5.783975002469305,-1.768542498149568,42
61,5.499648016409793,-2.28405600089057,39
62,4.889511818941045,-2.1843300941122754,35
63,4.909780611199928,-1.1489701129317065,32
64,5.550207530140412,-0.5370040221086535,27
65,5.51087704711567,0.8053083091796781,23
66,5.226476581413408,2.7624958470451393,21
67,5.674580762122005,3.063903449792896,20
68,5.371885661985942,0.9870511396716948,19
69,3.610687463224494,-1.307714464355752,18
70,4.221228559244196,0.04381137047726427,17
71,2.796789520913741,-1.128713535757889,16
72,3.2317777343293415,-2.1300428349189895,15
73,3.3604063651083322,-3.2243678417272665,13
74,-0.6267554628199576,-2.4025832238025115,11
75,-0.9866971637210611,-3.3939652384134433,9
76,-2.435476146556411,-3.90411645000496,9
77,-3.4836087027559586,-5.436983353091471,7
78,-2.5738236667422356,-6.422474713523331,6
79,1.3838179359692901,-1.2180581428203443,3
80,-6.482264609225453,-8.494871529102326,3
81,-7.027852282182749,-8.593629579834756,3
