device_id,maintenance_interval_median,major_ratio,I_i,q_major,future_rule_type,last_maintenance_date,last_maintenance_type,interval_sequence_used,type_sequence_used
a1,60.0,0.1666666666666666,60.0,0.1666666666666666,median_interval_major_ratio,2026-03-07,medium,62;74;62;50;52;57;50;78;60;66;47,medium;medium;medium;major;medium;medium;medium;medium;medium;major;medium;medium
a2,54.0,0.25,54.0,0.25,median_interval_major_ratio,2026-03-12,medium,73;79;59;50;46;51;54;77;65;50;42,medium;medium;medium;medium;medium;medium;medium;medium;major;major;major;medium
a3,59.0,0.1538461538461538,59.0,0.1538461538461538,median_interval_major_ratio,2026-04-05,medium,50;74;61;48;47;62;57;75;63;64;35;40,medium;medium;medium;medium;medium;medium;medium;major;medium;major;medium;medium;medium
a4,57.0,0.0,57.0,0.0,median_interval_major_ratio,2026-03-12,medium,49;67;60;59;33;49;55;63;65;60;43;50,medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium
a5,60.0,0.0769230769230769,60.0,0.0769230769230769,median_interval_major_ratio,2026-04-03,medium,60;65;64;58;35;49;60;66;79;63;49;36,medium;medium;major;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium
a6,55.0,0.1666666666666666,55.0,0.1666666666666666,median_interval_major_ratio,2026-03-25,medium,82;71;55;50;51;54;80;71;62;43;38,medium;medium;major;medium;major;medium;medium;medium;medium;medium;medium;medium
a7,55.0,0.1538461538461538,55.0,0.1538461538461538,median_interval_major_ratio,2026-03-25,medium,47;82;59;59;35;51;61;77;47;65;48;45,medium;medium;medium;medium;medium;medium;major;medium;medium;medium;medium;major;medium
a8,54.5,0.0,54.5,0.0,median_interval_major_ratio,2026-03-31,medium,69;82;64;41;42;47;54;64;56;55;43;50,medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium;medium
a9,56.0,0.1538461538461538,56.0,0.1538461538461538,median_interval_major_ratio,2026-04-01,major,64;74;61;47;47;57;55;65;65;54;45;37,medium;medium;medium;medium;medium;medium;major;medium;medium;medium;medium;medium;major
a10,57.0,0.2307692307692307,57.0,0.2307692307692307,median_interval_major_ratio,2026-03-26,medium,61;68;50;59;37;46;55;75;74;61;43;41,medium;major;medium;medium;medium;medium;major;medium;medium;medium;major;medium;medium
