设备编号,中维护次数,大维护次数,中维护典型间隔,中维护间隔下四分位数,中维护最小间隔,中维护前下降速度中位数,中维护前下降速度下四分位数,大维护典型间隔,大维护间隔下四分位数,两次大维护间中维护次数中位数,大维护比例,大维护规则来源,维护触发规则是否可靠,最近维护日期,最近维护类型,最近大维护日期,观测末距上次大维护后的中维护次数,维护间隔序列,维护类型序列
a1,10,2,62.0,52.0,52.0,0.32619177382751186,0.11526746010152832,347.0,347.0,5.0,0.16666666666666666,device_history,True,2026-03-07,medium,2025-11-14,2,62|74|62|50|52|57|50|78|60|66|47,medium|medium|medium|major|medium|medium|medium|medium|medium|major|medium|medium
a2,9,3,56.5,50.75,50.75,0.3136758953557367,0.2513973487266237,57.5,53.75,0.0,0.25,device_history,True,2026-03-12,medium,2026-01-29,1,73|79|59|50|46|51|54|77|65|50|42,medium|medium|medium|medium|medium|medium|medium|medium|major|major|major|medium
a3,11,2,55.5,47.25,47.25,0.4543995584682239,0.24193449114866403,138.0,138.0,1.0,0.15384615384615385,device_history,True,2026-04-05,medium,2025-11-17,3,50|74|61|48|47|62|57|75|63|64|35|40,medium|medium|medium|medium|medium|medium|medium|major|medium|major|medium|medium|medium
a4,13,0,57.0,49.0,49.0,0.45777526359253895,0.29402116566696507,,,,0.0,no_major_in_current_rule,True,2026-03-12,medium,,13,49|67|60|59|33|49|55|63|65|60|43|50,medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium
a5,12,1,60.0,49.0,49.0,0.2891861902589443,0.23148075480118055,260.0,,3.0,0.07692307692307693,global_fallback,True,2026-04-03,medium,2024-09-21,10,60|65|64|58|35|49|60|66|79|63|49|36,medium|medium|major|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium
a6,10,2,71.0,54.0,54.0,0.22262689197437907,0.19317846104856837,105.0,105.0,1.0,0.16666666666666666,device_history,True,2026-03-25,medium,2025-02-19,7,82|71|55|50|51|54|80|71|62|43|38,medium|medium|major|medium|major|medium|medium|medium|medium|medium|medium|medium
a7,11,2,62.0,50.0,50.0,0.38901214420939184,0.26550087006705897,298.0,298.0,4.0,0.15384615384615385,device_history,True,2026-03-25,medium,2026-02-08,1,47|82|59|59|35|51|61|77|47|65|48|45,medium|medium|medium|medium|medium|medium|major|medium|medium|medium|medium|major|medium
a8,13,0,54.5,46.0,46.0,0.3793692062689495,0.19699299823077993,,,,0.0,no_major_in_current_rule,True,2026-03-31,medium,,13,69|82|64|41|42|47|54|64|56|55|43|50,medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium
a9,11,2,62.5,48.75,48.75,0.5177499863518,0.23908069564414638,321.0,321.0,5.0,0.15384615384615385,device_history,True,2026-04-01,major,2026-04-01,0,64|74|61|47|47|57|55|65|65|54|45|37,medium|medium|medium|medium|medium|medium|major|medium|medium|medium|medium|medium|major
a10,10,3,74.0,50.0,50.0,0.5084042898400463,0.24429437427545464,262.5,261.25,3.5,0.23076923076923078,device_history,True,2026-03-26,medium,2026-01-01,2,61|68|50|59|37|46|55|75|74|61|43|41,medium|major|medium|medium|medium|medium|major|medium|medium|medium|major|medium|medium
