设备编号,有效维护周期数,周期长度中位数,周期衰减率中位数,周期衰减率下四分位数,周期衰减率上四分位数,纯净衰减片段数,纯净衰减率中位数,纯净衰减率下四分位数,纯净衰减率上四分位数,早期纯净衰减率中位数,晚期纯净衰减率中位数,老化加速比例,是否月度衰减敏感
a1,10,61.0,-0.25759538419779315,-0.4350506543136766,-0.21906896605168458,25,-0.37994911941924486,-0.5336941490165421,-0.31384682724374924,-0.3460675964533498,-0.5302356620442337,0.5321721400852674,True
a10,12,57.0,-0.4746984380222614,-0.5416527278842178,-0.25220717741322063,19,-0.43690845048748866,-0.5932056006240481,-0.27425165749682723,-0.41015927689050724,-0.43690845048748866,0.0652163924789873,True
a2,10,56.5,-0.3069701709649668,-0.4917966919135465,-0.22921298069116247,24,-0.41491346974091114,-0.5368682524395623,-0.2853639228844891,-0.41491346974091114,-0.418474803578353,0.008583296310841303,True
a3,9,62.0,-0.4676688629201021,-0.5633592515839508,-0.20496452626755257,19,-0.45960405027505385,-0.5993576500750155,-0.2208434404532499,-0.3936988890728347,-0.6177204020593463,0.5690159413407088,True
a4,12,57.0,-0.3348008639979638,-0.4713920163853825,-0.2247421807929827,29,-0.3685543152452482,-0.5051324406307067,-0.25557625991223176,-0.3407488183109219,-0.47202116482033524,0.3852455363296249,True
a5,12,60.0,-0.35527168469988335,-0.48343243052803364,-0.23204292169772564,24,-0.34044546842622414,-0.5707824991452248,-0.2699894005567316,-0.2828979401947329,-0.5508506826331326,0.9471677138626077,True
a6,11,55.0,-0.45839206996067616,-0.5409677701189096,-0.24325946203339105,29,-0.5115767477037375,-0.5876665244467946,-0.2830720844487498,-0.5296103279922699,-0.4925677087140479,-0.06994302674500698,True
a7,11,59.0,-0.3475770422829628,-0.506643235283474,-0.17521907901920428,25,-0.3567359513234645,-0.5132965464381556,-0.20890401035890527,-0.35839757078028395,-0.3454497844562386,-0.03612678001437399,True
a8,12,54.5,-0.42400985110584555,-0.47202228529662094,-0.20944586512286456,21,-0.32812715695695854,-0.5278249281567999,-0.18879543745800906,-0.25549535327751427,-0.3426025287302258,0.3409331457584356,True
a9,11,57.0,-0.2416630046381919,-0.5157934579797121,-0.1897426161471466,24,-0.3368938138815578,-0.5526869527518775,-0.22275095215697227,-0.35006484717190034,-0.32372278059121534,-0.07524889044017392,True
