设备编号,最大可恢复水平初值_收缩,恢复高点日趋势斜率,恢复高点趋势是否可靠,中维护恢复比例中位数,大维护恢复比例中位数,中维护恢复比例有效事件数,大维护恢复比例有效事件数,中维护恢复比例截断占比,大维护恢复比例截断占比
a1,89.3297757152315,-0.010704803336541217,True,1.0,0.5662880966312676,5,2,1.0,0.0
a2,63.36295984222864,-0.050100492744542625,True,0.7504517160358192,0.8020888666169848,8,2,0.375,0.0
a3,78.6754392457538,-0.036233906665256145,True,0.8774613076033587,,6,0,0.3333333333333333,
a4,99.29233309579936,0.02529837235095337,True,1.0,,6,0,1.0,
a5,68.03525664505325,-0.08325829491331344,True,0.7765890055994695,0.7098937571789158,8,1,0.375,0.0
a6,83.72664277814532,0.051354775566435945,True,1.0,1.0,6,2,1.0,1.0
a7,70.16736148437258,-0.048756607995136224,True,0.94833444820333,0.8706203274281197,8,1,0.5,0.0
a8,68.25279564730012,-0.09134137602504325,True,0.8326591368615508,,10,0,0.3,
a9,75.97649760133287,-0.03692408587740113,True,1.0,0.8328738674958767,8,1,0.625,0.0
a10,56.203335862290075,-0.1362408473960661,True,0.5827554421673207,0.5086453575688354,9,2,0.2222222222222222,0.0
