var_x,var_y,spearman_corr,p值,样本数,interpretation
daily_median,device_centered_permeability,0.8727765905840896,0.0,6936,daily_median 与 device_centered_permeability 呈较强正相关，显著；该结果只说明变量关系方向，不代表因果。
daily_median,season_adjusted_permeability,0.6898822076776376,0.0,6936,daily_median 与 season_adjusted_permeability 呈较强正相关，显著；该结果只说明变量关系方向，不代表因果。
daily_median,days_since_last_maintenance,-0.16692762486026444,9.452326008705208e-43,6555,daily_median 与 days_since_last_maintenance 呈较弱负相关，显著；该结果只说明变量关系方向，不代表因果。
daily_median,days_from_observation_start,-0.3788446636867329,1.1295002126505988e-254,6936,daily_median 与 days_from_observation_start 呈中等负相关，显著；该结果只说明变量关系方向，不代表因果。
daily_median,month,0.18300431599586447,3.433441094574408e-54,6936,daily_median 与 month 呈较弱正相关，显著；该结果只说明变量关系方向，不代表因果。
daily_median,is_post_medium_window,0.1293382977969601,1.7619826223924026e-27,6936,daily_median 与 is_post_medium_window 呈较弱正相关，显著；该结果只说明变量关系方向，不代表因果。
daily_median,is_post_major_window,-0.02180267414153612,0.06937737335017981,6936,daily_median 与 is_post_major_window 呈较弱负相关，不显著；该结果只说明变量关系方向，不代表因果。
device_centered_permeability,season_adjusted_permeability,0.8015310429284686,0.0,6936,device_centered_permeability 与 season_adjusted_permeability 呈较强正相关，显著；该结果只说明变量关系方向，不代表因果。
device_centered_permeability,month,0.1972022068471906,5.655149274211071e-63,6936,device_centered_permeability 与 month 呈较弱正相关，显著；该结果只说明变量关系方向，不代表因果。
device_centered_permeability,is_post_medium_window,0.13498766158544726,7.912006898743378e-30,6936,device_centered_permeability 与 is_post_medium_window 呈较弱正相关，显著；该结果只说明变量关系方向，不代表因果。
device_centered_permeability,is_post_major_window,-0.00115234690621981,0.9235549370667401,6936,device_centered_permeability 与 is_post_major_window 呈较弱负相关，不显著；该结果只说明变量关系方向，不代表因果。
days_since_last_maintenance,device_centered_permeability,-0.17223269321512033,1.768032839063366e-45,6555,days_since_last_maintenance 与 device_centered_permeability 呈较弱负相关，显著；该结果只说明变量关系方向，不代表因果。
days_since_last_maintenance,season_adjusted_permeability,-0.34139458930819183,5.086435285337436e-190,6555,days_since_last_maintenance 与 season_adjusted_permeability 呈中等负相关，显著；该结果只说明变量关系方向，不代表因果。
days_since_last_maintenance,month,0.2030886334365567,6.283280854739038e-66,6839,days_since_last_maintenance 与 month 呈较弱正相关，显著；该结果只说明变量关系方向，不代表因果。
days_since_last_maintenance,is_post_medium_window,-0.5133507218290777,0.0,6839,days_since_last_maintenance 与 is_post_medium_window 呈较强负相关，显著；该结果只说明变量关系方向，不代表因果。
days_since_last_maintenance,is_post_major_window,-0.19201128718779556,7.2453337184537185e-59,6839,days_since_last_maintenance 与 is_post_major_window 呈较弱负相关，显著；该结果只说明变量关系方向，不代表因果。
days_from_observation_start,device_centered_permeability,-0.3884463337507414,6.120571257376788e-270,6936,days_from_observation_start 与 device_centered_permeability 呈中等负相关，显著；该结果只说明变量关系方向，不代表因果。
days_from_observation_start,season_adjusted_permeability,-0.3119887545417524,1.2596589760458008e-164,6936,days_from_observation_start 与 season_adjusted_permeability 呈中等负相关，显著；该结果只说明变量关系方向，不代表因果。
days_from_observation_start,days_since_last_maintenance,-0.04348599858100591,0.0003193270557551906,6839,days_from_observation_start 与 days_since_last_maintenance 呈较弱负相关，显著；该结果只说明变量关系方向，不代表因果。
days_from_observation_start,month,-0.08512316361355905,2.1872650415712298e-13,7377,days_from_observation_start 与 month 呈较弱负相关，显著；该结果只说明变量关系方向，不代表因果。
days_from_observation_start,is_post_medium_window,0.03852830097762475,0.000929017591052662,7377,days_from_observation_start 与 is_post_medium_window 呈较弱正相关，显著；该结果只说明变量关系方向，不代表因果。
days_from_observation_start,is_post_major_window,0.05432911973239785,2.9745789914202473e-06,7377,days_from_observation_start 与 is_post_major_window 呈较弱正相关，显著；该结果只说明变量关系方向，不代表因果。
month,season_adjusted_permeability,-0.054362845283448674,5.800518202621998e-06,6936,month 与 season_adjusted_permeability 呈较弱负相关，显著；该结果只说明变量关系方向，不代表因果。
is_post_medium_window,season_adjusted_permeability,0.19125973303499844,3.3105320837852988e-59,6936,is_post_medium_window 与 season_adjusted_permeability 呈较弱正相关，显著；该结果只说明变量关系方向，不代表因果。
is_post_medium_window,month,-0.0724646909469089,4.3893383328699904e-10,7377,is_post_medium_window 与 month 呈较弱负相关，显著；该结果只说明变量关系方向，不代表因果。
is_post_major_window,season_adjusted_permeability,0.026516384828833384,0.027187644714623913,6936,is_post_major_window 与 season_adjusted_permeability 呈较弱正相关，显著；该结果只说明变量关系方向，不代表因果。
is_post_major_window,month,0.0072087150411260315,0.5358604830886979,7377,is_post_major_window 与 month 呈较弱正相关，不显著；该结果只说明变量关系方向，不代表因果。
is_post_major_window,is_post_medium_window,-0.0436493451765335,0.00017536880449597694,7377,is_post_major_window 与 is_post_medium_window 呈较弱负相关，显著；该结果只说明变量关系方向，不代表因果。
