device_id,current_state_level,initial_x_state,maintenance_interval_median,major_ratio,cycle_decay_rate_used,h_max_initial,hmax_trend_raw,hmax_trend_limited,hmax_trend_used,hmax_annual_drop_ratio_used,hmax_damage_delta_medium,hmax_damage_delta_major,hmax_damage_source,service_cap_scenario,service_cap_years,hmax_scenario,hmax_main_scenario,medium_plateau_gain_used,major_plateau_gain_used,medium_recovery_ratio_used,major_recovery_ratio_used,medium_rho_used_source,major_rho_used_source,rho_reliable_flag
a1,95.46858193148316,97.52173312585282,62.0,0.1666666666666666,-0.2575953841977931,104.17905910518748,-0.0107048033365412,-0.0107048033365412,-0.0053524016682706,0.01875258449921526,2.0835811821037495,4.167162364207499,global_hpost_decline_median,neutral,15.0,neutral,neutral,17.83808022037603,16.344591108792773,0.7213199817883444,0.3568140822127483,global_rho,device_rho,True
a2,43.81509265245208,45.868243846821734,56.5,0.25,-0.3069701709649668,61.9531263371914,-0.0501004927445426,-0.033946918540926796,-0.016973459270463398,0.1,1.239062526743828,2.478125053487656,global_hpost_decline_median,neutral,15.0,neutral,neutral,17.83808022037603,16.344591108792773,0.7213199817883444,0.423493464180631,global_rho,global_rho,True
a3,69.82082960181906,71.87398079618872,55.5,0.1538461538461538,-0.4676688629201021,83.17688449705136,-0.0362339066652561,-0.0362339066652561,-0.01811695333262805,0.07950151062274592,1.6635376899410272,3.3270753798820545,global_hpost_decline_median,neutral,15.0,neutral,neutral,17.83808022037603,16.344591108792773,0.7213199817883444,0.423493464180631,global_rho,global_rho,True
a4,110.44724837412475,112.50039956849442,57.0,0.0,-0.3348008639979638,114.78918601857175,0.0,0.0,0.0,0.0,2.295783720371435,4.59156744074287,global_hpost_decline_median,neutral,15.0,neutral,neutral,17.83808022037603,16.344591108792773,0.7004868892692525,0.423493464180631,device_rho,global_rho,True
a5,50.948587161506055,53.00173835587571,60.0,0.0769230769230769,-0.3552716846998833,81.47394416566925,-0.0832582949133134,-0.04464325707707904,-0.02232162853853952,0.1,1.629478883313385,3.25895776662677,global_hpost_decline_median,neutral,15.0,neutral,neutral,17.83808022037603,16.344591108792773,0.6177128724437171,0.423493464180631,device_rho,global_rho,True
a6,84.66985355801819,86.72300475238785,71.0,0.1666666666666666,-0.4583920699606761,91.5689438335164,0.0,0.0,0.0,0.0,1.831378876670328,3.662757753340656,global_hpost_decline_median,neutral,15.0,neutral,neutral,17.83808022037603,16.344591108792773,0.7421530743074364,0.4901728461485137,device_rho,device_rho,True
a7,65.19753028940247,67.25068148377213,62.0,0.1538461538461538,-0.3475770422829628,68.59957567125903,-0.0487566079951362,-0.03758880858699125,-0.018794404293495624,0.1,1.3719915134251808,2.7439830268503616,global_hpost_decline_median,neutral,15.0,neutral,neutral,17.83808022037603,16.344591108792773,0.7213199817883444,0.423493464180631,global_rho,global_rho,True
a8,62.3708025376779,64.42395373204756,54.5,0.0,-0.4240098511058455,69.6598657263656,-0.0913413760250432,-0.038169789439104436,-0.019084894719552218,0.1,1.393197314527312,2.786394629054624,global_hpost_decline_median,neutral,15.0,neutral,neutral,17.83808022037603,16.344591108792773,0.7213199817883444,0.423493464180631,global_rho,global_rho,True
a9,70.56488737184425,72.61803856621391,62.5,0.1538461538461538,-0.2416630046381919,82.77891072634958,-0.0369240858774011,-0.0369240858774011,-0.01846204293870055,0.08140534362553171,1.6555782145269917,3.3111564290539834,global_hpost_decline_median,neutral,15.0,neutral,neutral,17.83808022037603,16.344591108792773,0.7213199817883444,0.423493464180631,global_rho,global_rho,True
a10,51.35609626628192,53.40924746065157,74.0,0.2307692307692307,-0.4746984380222614,52.789792587952505,-0.1362408473960661,-0.02892591374682329,-0.014462956873411646,0.1,1.0557958517590502,2.1115917035181004,global_hpost_decline_median,neutral,15.0,neutral,neutral,17.83808022037603,16.344591108792773,0.8947109890413749,0.423493464180631,device_rho,global_rho,True
