device_id,current_state_level,current_real_rolling365,cycle_decay_rate_used,maintenance_interval_median,future_maintenance_count_30y,annual_maintenance_count_30y,avg_maintenance_interval_30y,min_maintenance_interval_30y,maintenance_burden_flag,burden_trigger_date,burden_trigger_reason,burden_trigger_annual_count,burden_trigger_avg_interval,burden_trigger_min_interval,h_max_initial,hmax_trend_used,hmax_at_10y,hmax_at_30y,rolling365_min_30y,rolling365_last_30y,long_life_reason
a1,95.46858193148316,90.58501076772423,-0.2575953841977931,62.0,26,0.8666666666666667,48.24,1.0,True,2026-09-10,rolling_365d_avg_interval_lt_45;rolling_365d_min_interval_lt_30,4.0,41.666666666666664,1.0,104.17905910518748,-0.0053524016682706,84.64279301599979,45.57561323929268,36.96768172808203,36.96768172808203,30年内已触发寿命终止
a2,43.81509265245208,67.1571480547334,-0.3069701709649668,56.5,13,0.43333333333333335,28.5,1.0,True,2026-06-08,rolling_365d_avg_interval_lt_45;rolling_365d_min_interval_lt_30,3.0,28.5,1.0,61.9531263371914,-0.016973459270463398,0.0,0.0,36.9399131590487,36.9399131590487,30年内已触发寿命终止
a3,69.82082960181906,88.6515429681911,-0.4676688629201021,55.5,19,0.6333333333333333,26.22222222222222,1.0,True,2026-06-07,rolling_365d_avg_interval_lt_45;rolling_365d_min_interval_lt_30,3.0,28.0,1.0,83.17688449705136,-0.01811695333262805,17.050004832958976,0.0,36.95670318196499,36.95670318196499,30年内已触发寿命终止
a4,110.44724837412475,101.40817970728784,-0.3348008639979638,57.0,32,1.0666666666666667,53.483870967741936,49.0,False,,,,,,114.78918601857175,0.0,114.78918601857175,114.78918601857175,36.99188947495379,36.99188947495379,30年内已触发寿命终止
a5,50.948587161506055,76.52158104564066,-0.3552716846998833,60.0,13,0.43333333333333335,52.666666666666664,49.0,False,,,,,,81.47394416566925,-0.02232162853853952,0.0,0.0,36.97976973040602,36.97976973040602,30年内已触发寿命终止
a6,84.66985355801819,88.29265687847739,-0.4583920699606761,71.0,21,0.7,29.2,1.0,True,2026-06-23,rolling_365d_avg_interval_lt_45;rolling_365d_min_interval_lt_30,3.0,36.0,1.0,91.5689438335164,0.0,91.5689438335164,91.5689438335164,36.977807878465455,36.977807878465455,30年内已触发寿命终止
a7,65.19753028940247,82.42586390955375,-0.3475770422829628,62.0,12,0.4,45.45454545454545,1.0,True,2026-09-16,rolling_365d_avg_interval_lt_45;rolling_365d_min_interval_lt_30,4.0,37.666666666666664,1.0,68.59957567125903,-0.018794404293495624,0.0,0.0,36.99715652014509,36.99715652014509,30年内已触发寿命终止
a8,62.3708025376779,81.16723289715755,-0.4240098511058455,54.5,12,0.4,49.09090909090909,46.0,False,,,,,,69.6598657263656,-0.019084894719552218,0.0,0.0,36.98873667606659,36.98873667606659,30年内已触发寿命终止
a9,70.56488737184425,77.46763149516717,-0.2416630046381919,62.5,16,0.5333333333333333,53.86666666666667,1.0,True,2027-02-06,rolling_365d_min_interval_lt_30,6.0,49.8,1.0,82.77891072634958,-0.01846204293870055,15.39245400009257,0.0,36.97577114718338,36.97577114718338,30年内已触发寿命终止
a10,51.35609626628192,71.71774881933914,-0.4746984380222614,74.0,6,0.2,45.0,1.0,True,2026-08-22,rolling_365d_avg_interval_lt_45;rolling_365d_min_interval_lt_30,3.0,37.5,1.0,52.789792587952505,-0.014462956873411646,0.0,0.0,36.94970314061625,36.94970314061625,30年内已触发寿命终止
